,text,polarity
34,مكان تاريخي في مدينة الاحساء ياخذك في رحلة جميلة وممتعة عبر العصور القديمة يجذب الكثير من السياح وتلتف حوله العديد من المطاعم والمقاهي والمحلات بإطلالة تراثية مبهرة جدا,Positive
35,من ناحيتي المتحف جميل لكن جلسات الارضيه مافيها خصوصيه,Neutral
36,محبة في التراث الذي لم اعرفه من قبل وذالك عن طريق جولة قمة بها برفقة ثلاثة من كبارالسن المعمرين من اجل ان اعرف عن طريقهم مالااعرفه وبعد دخولنا المتحف حتا اكملنا الزيار ه وخرجنا اطلب منكم العذر في التعبير عن ماشاهدته في من دعوتهم لزيارة المتحف ودهشت عند وداعي لهم عندماوضع كل واحد منهم قبلة علا راسي  وهم يقولون لقدشاهدنا مالم نشاهده في الاحلام وكانت مشاهدتنا لذالك من المستحيل ولك الفضل من بعد الله وجزاك الله عنا كل خير,Negative
37,سعر التذكرة للفرد  ريال ومافيه شيئ يستاهل بصراحه,Neutral
38,حديقه مرتبه مفتوحه للجميع طوال الاسبوع عدا يوم الجمعه صيانه من ثمانيه ونصف للخمسه التذكره ب ١٢ ريال لذوي الاحتياجات الخاصه مجانا مع مرافق,Positive
39,قريه تحتوي العديد من التراث والأفكار الجديدة ويوجد بها  اكثر من ركن متنوعه وتلفت الانظار بشكل جميل,Neutral
40,التراث له جماله حتى لو تشاهد بدون ما تشتري,Positive
41,اجواء جميلة سبحان الخالق واطلاله واماكن تناسب العوائل ينقصها بعض الخدمات,Neutral
42,المكان حلو وشرح لكن استغلال لابعد درجه الدخول المطعم الشخص ١٠ريال والجلسه المغلقه ب٥٠ ريال بدون الطلبات واكلهم عادي,Positive
43,مناسب جدا,Positive
44,مكان جميل ومناسب للعائله وجلسات الجميله وكل شي متوفر فيه,Positive
45,مسجد جواثا من الاماكن التراثيه وبجنب منتزه جواثا انصح زيارته,Positive
46,حلو جلسات رايقه,Positive
47,مكان تراثي اتمنى ان تقام فيه بعض الفعاليات,Positive
48,ذكريات من الزمن والتاريخ الاصيل مع تنسيق جميل يأخذ الزائر الى تاريخ المملكة ومكان هادئ للعائله انصح بزيارته,Neutral
49,مكان جميل وتاريخي,Positive
50,متحف عبدالرؤف خليل مدينة الطيبات,Positive
51,مكان جميل ورايق 😍,Positive
52,أحلى جو,Positive
53,مكان جديد رائع لكن مايعيبه صغر حجمه اتوقعته اكبر من كذا في مدينه مثل الرياض والتعداد السكاني صفير جدا وزحمه وكما علق العديد محتاج لضبط من قبل المرور والشرطه لوجود بعض المراهقين من الجنسين زرت بوليفار في اكثر من مدينه دبي عمان لبنان لكن هذا اصغرهم لكن يعتبر مكان جديد للعائلات لوجود الكوفي شوب وهي قليله ايضا,Neutral
54,مكان جميل الدخول ب ٥ ريال والالعاب ب ١٠ للعبة  عيبه ان المنتجات الغذائية والعصيرات ضعف السعر,Positive
55,جميل قديم يحتاج إلى زياده اهتمام بالنظافه,Positive
56,جودة وطعم لذيذ واسعار ممتازة,Positive
57,📍🇸🇦🌊⭐,Positive
58,المكان رائع ومنظم واجمل ما فيه المكتبة مناسبة لجميع الاعمار الاضاءة اكثر من رائعة ومبهرة,Neutral
59,مكان يحاكي المدينه وتراثها انصح بزيارته اسعار دخوله رخيصه جدا للكبير ويتميز بحسن ضيافه ووجود كشك صغير يبيع مقتنيات المدينه,Positive
60,التجربة ممتعة وجميلة ومنها يمكن مشاهدة عقبة الهدا كاملة من الأعلى يعيب المكان طريق الدخول إلى موقع التلفريك من الهدا حيث تم غلق بوابة الفندق وعمل تحويله بشارع ترابي به حفر ومطبات بشكل لا يليق بمنطقة جذب سياحي,Positive
61,تتعرف فيها عن تراث المنطقة  حيث يعرض فيها نماذج للمساكن المعروفة قديما بالمنطقة مثل العشة والعريش وغيرها  وكذلك بعض الأدوات المستخدمة قديما ونماذج من الأسلحة القديمة  يوجد فيها بعض البائعات يقدمن البخور والعطور الشعبية وبعض المؤكولات  نصيحة لا تذهبوا إلا في وقت الشتاء والربيع حيث ينصب بجانبها في الساحة المقابل لها المهرجان الشتوي,Positive
62,حاشريننا,Positive
63,تقريبا جميع الاماكن السياحية بابها تحت الترميم تمنيت وجود دليل سياحي يتحدث عن المكان بالاضافة لوجود محل للهدايا التذكارية كما جرت العادة بجانب الاماكن السياحية للاسف قام بعض الزوار بتشويه المكان بالشخبطة على الجدران,Positive
64,موقع مميز مسافة طويلة,Positive
65,مكان رائع ولكن يحتاج الى تحديث وتنظيم وترتيب,Positive
66,من افضل الأماكن في أجوائها ومناظرها الخلابه نعم إنها السودة ❤,Neutral
67,الدخول عشرين ريال غرفة الطعام خمسين ريال هذا بدون اكل طريقة جشعة لا انصح الذهاب الية حتى يعدلون سياسة المطعم,Positive
68,متحف يضم بداخله سكة حديد وقطار مع قاطرته منذُ الزمن العثماني أي قرابة ١١٤ سنه تقريباً متحف جميل بداخل منتزه,Neutral
69,الحديقة جداً جميله تنظيم وترتيب ملحوظ شكرا للمنظمين والمشرفين لتواجدهم في كل مكان بالحديقه وإرشاداتهم لزوار وشاهدت تطور اكثر فيها,Neutral
70,بلدة تراثية تستلهم من خلالها عبق الماضي المجيد وروعة التراث الفريد إنها واحة من الجمال والروعة,Negative
71,شي خرافي,Positive
72,اروع مكان,Positive
73,ماشاء الله تبارالله لويستثمر المكان بتجديد الشوارع ولمحلات ولمواقف وتوضع مضلات في كل المواقف ولوحات اكترونيا ارشاديا بأن يوجد متاحف ومتاجر للأقمشة وكوشات وملابس وخردوات فلوحات الأرشدياالأكترونيا بأن هاذاتراث جدة التاريخي وشكراً,Negative
74,تم انتقال المحل إلى موقع آخر,Positive
75,مهرجان الجنادرية للتراث والثقافه جميع مناطق المملكه والخليج العربي في موقع واحد مع جميع الثقافات مكان مميز بدرجه عاليه وعالميه,Positive
76,رحم الله الملك عبدالعزيز وحفظ الله أبنائه و أحفاده على الهدى والتقى والصلاح,Positive
77,جيد لكن يحتاج تطوير,Positive
78,مكان جميل يحوي العديد من الكافيهات والمطاعم منها منخفض السعر وعالي السعر  مكان جميل  للاستمتاع نهاية الاسبوع,Positive
79,مكان حلو بس الاكل موبالمستوي,Positive
80,جيد ولكن مبالغ في رسوم الدخول,Positive
81,حلوة بس صغيرونه,Positive
82,بطيئه,Positive
83,غالي ورسوم دخول ٢٠ ريال لكل شخص كثير,Positive
84,جميل جداً وهادي,Positive
85,حديقة كبيرة ومتنوعة ويكثر فيها المسطحات الخضراء وسعر الدخول مناسب ولكن يعيبها موقعها في اكثر الاحياء ازدحاما ويصعب عليك ايجاد مكان تركن به سيارتكوالقطار بداخله ليس له مسار مخصص,Positive
86,الحديقة جميله جدا ينقصها ان الحيوانات تكون اقرب مثلا الاسود وغيرها بعيده لو يوضع حاجز اطول وتكون اقرب تشاهدها بوضوح ايضا الوقت ما يجي الساعه ٥ الا ويخرجونك من المكان غصب لدرجة تجمع الزائرين عند البوابه الرئيسيه بشكل مخيف وفي ظل ازمة كورونا,Positive
87,تجربة رائعه وممتعه جدا فيها كميه كبيرة من الحيوانات النادرة ويوجد كافيهات ومصلى وجلسات رائعه,Neutral
88,متحف حائل الإقليمي مغلق مؤقتا هذه الفترة 🌹🌹,Positive
89,مكان جميل ومرتب واول مرة ازوره يعرض فيه مجموعة من الادوات التي كانت تستخدم قديما من سيوف وسهام ورماح كان يمتلكها مجموعة من الصحابة رضي الله عنهم وملابس كانت تستخدم قديما ايام الصحابة وايضا ملابس قديمة لاهل المدينة واشياء كثيرة لا يمكنني حصرها فاتمنى كل من يزور المدينة ان يذهب الى المتحف فهو قريب من الحرم,Neutral
90,يحتاج لبعض العروض لا جديد,Positive
91,حرام مكان جميل كهذا من حيث الجو والاشجار وفيه كمية إهمال في صيانة دورات المياة والمظلات وعمال النظافة اقرب للشحاثة من النظافة,Positive
92,الحديقة جميلة و نظيفة جداً واغلب الحيوانات موجودة وواضحة  بداية اليوم كان الجو بارد والشمس خفيفة بعدين احتجنا شمسية لأن الشمس قوية مع الهواء البارد  كل شي متوفر في الكشكات والكافيه باسعار جداً بسيطة  بعض الحيوانات تدخل وما تكون واضحة يمكن تحتاج اكثر من لفة على الحديقة,Neutral
93,متحف جميل ورائع للعائله وللاطفال عيبهم سعره غالي الموظفين جداً رائعين ويرشدونك ويساعدونك بالتصوير المكان صغير لكن ممتع ومنوع ويوسع مدارك الطفل فيه ركن لبيع بعض المنتجات أنصح بزيارته 👌🏼,Neutral
94,متع جدا جدا جدا,Positive
95,الحديقة رائعة لقضاء أوقات هادئة للكبار والصغار فهناك أماكن للجلوس أمام الماء وبها أماكن ترفيه للصغار ومسبح وملاعب ولكن تحتاج لبعض أعمال الصيانة يبدو أنه ليس هناك متابعة وصيانة,Neutral
96,للأسف لايوجد مكان للوصول لها وكلها شجيرات وسط البحيرة,Positive
97,للسف مفي ألعاب الاطفال,Positive
98,مكان رائع وجميل يطل بنا على تاريخ المدينة المنورة,Positive
99,جميل ولكن زحمة وارتفاع مبالغ في اسعار الكفيهات,Positive
100,ممتاز و فيه اشياء علمية مفيدة لكن هنالك الكثير من الآلات لا تعمل,Positive
101,للاسف كان مغلق ولا يوجد لوحه توضح مواعيد الزيارة والاغلاق,Positive
102,حديقة جميلة ونظيفة الدخول ١١٥ ريال للشخص الكبير  التدخين ممنوع داخل الحديقة يوجد كوفي وكوشكات عجبني المكان وان شاء الله السفره القادمه ازوره,Positive
103,Proud of my country 💚  المكان خرافي ماشاءالله  نظافة وجمال وترتيب وكل شي واضح و مهيأ للصغير والكبير وذوي الاحتياجات  ناس مبتسمه وأسعار مناسبة  شكرا تركي آل شيخ وعساك ع القوة 💚,Positive
104,جدا جميل وراقي علي مستوي,Positive
105,تنظيم جيد وتنوع في الانشطه والمحلان يلاحظ عليه اسعار تذاكر العاب الاطفال غاليه جدا وقديمه,Neutral
106,وجود اشياء مختلفه من قديم الزمان,Positive
107,المكان جميل وعائلي بامتياز ولا يزال تحت التطوير,Neutral
108,وسخانه جدا,Positive
109,حلو وفية أشياء قديمة تراثية جميلة,Neutral
110,موقع جميل وجو عليل وبارد وغالبا بالعصر تهطل الامطار,Positive
111,اشكر الاخت ساره على حُسن الإستقبال وطيب الرعاية  أمضيت وقت رائع ومفيد تحت عناية الأخت الفاضلة  شكراً جزيلاً,Positive
112,سيء جدا لا عنايه ونظافه,Positive
113,العفن,Positive
114,مخيم وكالة تتبع المسيره للمرفانات الامريكيه رقي واسعار معقوله وخدمات فندقيه مع المواصلات,Negative
115,تعليقي طويل نوعا ما لكن مفيد لمن لم يسبق له الذهاب زرته الجمعة  فبراير م والصورة المرفقة تعطي إنطباع بسيط عن الوضع انصح من يرغب في زيارته أن يذهب مع تاكسي وينزل عند البوابة الغربية الرئيسية رقم  ويخرج مع البوابة الجنوبية,Neutral
116,تجربة مميزة لمعلم تاريخي جميل,Positive
117,توجد مواقف بالاسفل فارغة كل الازدحام يحدث بسبب المواقف العلوية,Neutral
118,عروس البحر يا قطر الندى في هواك بات قلبي منشدا  أي حسن أي فن ساهر قد تحلى قبل واجتاز المدى,Positive
119,المكان جميل سعر التذكره ٥٥ للشخص الواحد المرافق ٣٠ ريال عمق المسبح ٥٠ سم بحدوده اذا كان عندك طفل صغير بعمر ٣ سنوات لابد يكون ابوه معاه افضل يعني احسب حسابك في ملابسك لاحظت امهات جايبين اطفال ومتوهقين معاهم,Negative
120,مكان جميل جدا وينقل صورة لما كان عليه اهل المنطقه ويوضح الادوات والمعدات التي كانو يستخدمونها في الصيد وفي حياتهم سواء اهل الجبال او الساحل,Positive
121,برنامج جميل انصح فيه اصحاب السفريات,Positive
122,مناظر  حلوة جدا,Positive
123,جميلة وراقيه ونظافة اشكر القائمين على هذا الموقع,Positive
124,النظافة والهدوء 👍,Positive
125,جيدة,Positive
126,مكان يسحرني,Positive
127,من أحب الأماكن في جده,Positive
128,وعليكم السلام 🌿🌹🌿 قصرجبره قصرتاريخ عظيم ويذكرنا بالماضي الجميل وأهله الطيبين وعراقة هذ البلد المظياف بس لابد له من الترميم وإعادته  كمنظر وواهجه جميله من واجهات مصيف المملكه الأول  الطائف المأنوس,Positive
129,أنشئت قلعة تبوك في العصر العباسي ثم أعيد بناؤها في عصر السلطان سليمان القانوني سنة ه م وجدد بناؤها في عصر السلطان محمد الرابع سنة هم,Positive
130,الاستقبال الاخراج المحتوي سي,Positive
131,حديقة جميلة وكبيرة وفيها حيوانات كثير بصراحة التجول فيها ممتع جدآ,Positive
132,💖 💯 💖 💯,Positive
133,مشينه,Positive
134,من الأماكن الي تكتفي بزيارتها مره واحده فقط,Neutral
135,هناك يوم بالأسبوع الحديقة مغلقة وباقي الايام هناك أوقات للعائلات أوقات للرجال فقط وأوقات للنساء فقط فتأكد من جدول المواعيد تقييمي للحديقة مبني على زيارتي الأولى لها وعلى واقع زيارتي لأكثر من حديقة حيوان في دول أخرى عربية وأجنبية ابدأ,Positive
136,جميل ورائع تاريخ مكة والمدينة المنورة,Positive
137,ممتازه شي جميل جدا,Positive
138,مكان جمييل يوجد به تاريخ رائع,Neutral
139,روعة بس صغير ✔️,Positive
140,مررت عليها وكانت مغلقة ولم أجد أي توضيح بخصوص متى وقت الفتح أو الإغلاق ومن الشكل الخارجي يتبين أنها جميلة وبها مسجد تاريخي مقابل,Neutral
141,استمتع بالتراث الجميل,Positive
142,مركز حضاري ثقافي يوثق للزائر  تاريخ المملكة من بدايته الي ماوصل اليه ويعرض صناعة الزيت في السعودية ويوجد في المركز كافة الخدمات ومطعم في الاعلى  وهو جدير بالزيارة مع العائلة,Neutral
143,جميله ياليت المحافظة على البيئة من السواح,Positive
144,مكان مميز بس تنضيم سييئ جداََ حفل يومنا الوطني,Positive
145,السوده جوؤ خيالي,Positive
146,مقرفه,Positive
147,شي عاادي,Positive
148,رائع بس صغير جداً والأسعار في ارتفاع دخلت كافيه cups  كلفني لاتيه حار ولاتيه بارد و شريحتين كيك تقريباً ٦٨ ريال,Positive
149,رائعه جدا عروض رائعه والعاب رائعه انصح بالزياره 👍,Neutral
150,رحله ممتعه جدا بس خطيره لان يومها كان في مطر و ضباب بس الالعاب كانت تحفه و ممتعه بس محتاجين يزودوها عشان هما ٣ بس 💖,Negative
151,ممتاز ولكن يحتاج مساحة اكبر من المبنى المتحف المتواجد فيه  كل الشكر للقائمين اتمنى ان يكون الدخول كما عليه والشرح مجانا للزائرين المتحف لايعقل الدخول برسوم مالي والشرح لزوار برسوم مالي,Negative
152,جميل جدا مكان يستحق الزيارة لكن هذه الفترة كثير من الفعاليات مغلقة بسبب الاجراءات الاحترازيه,Positive
153,مكان جميل وذكي لاستقبال وخدمة السياح,Positive
154,لم يتم تأهيله لاستقبال الزوار,Positive
155,المكان واسع ونظيف والالعاب متميزة والمناظر رائعة,Neutral
156,ممتازة,Positive
157,ملهى ممتاز,Positive
158,قمة السذاجة تقول عرض ازياء نسأل الله العافية ماترتاح ابد للمكان من المضايقات,Positive
159,أكثر من رائع في جميع النواحي يجمع المتعه والفائدة بطريقه إبداعيه ويعكس حرص حكومتنا على ابراز التراث الجميل لبلدنا والمحافظه عليه ليصل للأجيال القادمة,Neutral
160,لا تستحق أكثر من زيارة عابرة لالتقاط الصور,Positive
161,مدينة مائية لترفيه الاطفال تقع في مجمع العثيم بالدمام ينقصها التركيز على رعاية الاطفال وتحتاج لمزيد من النظافه اثناء المواسم الاسعار مرتفعه قليلا,Positive
162,مكان رائع جدا ومختلف واتمني تكرار الزيارة اليه غير السعر للفرد كتير شويه,Positive
163,مجهودات جباره ومميزة الله يونسكم بالعافيه في مهرجان العيد لفة العيد مميزة جدا,Positive
164,تنظيم عالمي وجميل اعجبني سيارات الاسعاف متواجدة في كل مكان,Positive
165,متحف على اسمه يعجز الوصف تعب مؤسسه في انشاءه واضح ولكن ينقصه بعض التعديلات في المدخل وفي صالة العرض وفي الترتيب والضيق والزحام في الصاله نفسها,Neutral
166,مش,Positive
167,ازعجني,Positive
168,المدينة صغيرة وتنقل التراث بشكل غير مباشر الى الزوار يوجد بها الكثير من الاصلاحات والترميم ارجوا ان تنجز في اقرب وقت,Positive
169,وربي انه من اجل واحلى واروق الاماكن الي رحتها في حياتي فعالياتهم مراا حلوه والفعاليات لسا شغالة ٦ شهور قدام المكتبة رايقة مرا فيها كل انواع الكتب ٣ ادوار تبغو تقرأو تعالو تبو تذاكرو تعالوا تبو تنبسطو بالفعاليات تعالوا,Negative
170,فنان وامن,Positive
171,جميل جداً و مفيد و يزيد من المعرفة و الإثراء العلمي,Neutral
172,مكان جميل لكن بعيد وإمكانية وجود سيارات أجرة شحيحة,Positive
173,اللعبة ممتعة ولكن السعر مبالغ فيه جدا,Positive
174,جوله جميله جدا يستحق الزياره,Positive
175,مشي حالك,Positive
176,تلفريك الهدا جميل جدا ورائع  ويجمع طقسين بارد فوق دافي تحت في الشتاء في الصيف معتدل فوق حار قليل تحت  منظر جبل مشوق العاب مائيه جميله وافضل وقت النهار افضل في ليل ماتشوف شيء  ويحتوي على مصلى ودورات مياه ومكان اصلا مرتب,Neutral
177,مكان جميل و ممتع تشاهد فيه كل تراث من المباني الى الحياة اليومية  يوجد في المواسم الكثير من الفعاليات مثل الرسم الحر و السوق الشعبي و الذي يباع فيه الملابس التقليدية و الاكسسوارات التقليدية أيضا,Neutral
178,كنت في تشوق كبير ان ارى ذلك المعلم السياحي الشهير و بالفعل هو كذلك جميل و ممتع ان تقضي ساعه الى ساعه و نصف فيه تشكيلات الجبال الصخرية و النحت في الصخور تتمثل فيه عظمة الخالق سبحانه لكن سعر الدخول مبالغ جدا فيه حيث لا يوجد مرشدين لكن على كل حال استمتعت انا واهلي فيه,Neutral
179,اعيب,Positive
180,منطقة تراثيه جميله,Positive
181,انصحك بالذهاب للقرية التراثية بها تحف ومناظر قديمة رائعه جداً,Neutral
182,مكان جميل وهادىء ويجعلك ترجع بالزمن للخلف لترى المباني القدمية ويستحق الذهاب له,Neutral
183,رائع جدا ومفخرة للطائف واطلالة ساحرة على طريق جبل كرا,Positive
184,منطقة تراثية تاريخية,Positive
185,مكان جيد للمشاهده من الخارج ولكن لا يمكن الدخول,Positive
186,جدآ ممتازه,Positive
187,جولة جميلة و ممتعة لكن مبالغ بالاسعار,Positive
188,القلعه حلوه وفيها غرفة تحتوي على بعض التراث تقريبا المبنى دورين,Negative
189,شوية مطاعم والكثير من الهياط والتميلح😂,Positive
190,الاقسام و تنوعها التنظيم السعر مساحة المتحف سهولة الوصول  لا يوجد بطاقات شرح أو تعريفية على المعروضات و كذلك لا يوجد شرح صوتي للقطع,Negative
191,فندق جميل ورائع وهادي,Positive
192,متحف تراثي جميل ومرتب ونضيف,Neutral
193,مازرتة بس الدوار يجبرنا نمر من عند😂,Positive
194,جميل  جدا من مناطق السياحه بحائل لاكن تبي تطوير واهتمام من بلدية حائل ووزارة السياحة,Positive
195,جميل لسياحة مايخذ  دقيقة لتجوال فيه يحتاج الى مزيد من الجلسات,Positive
196,العاملين عليه قمه في التعامل ونتمنى الاهتمام به اكثر من قبل المسؤولين,Neutral
197,روعة المكان وجميل وهاذئ,Positive
198,ذبحونا,Positive
199,إطلالة التاريخ,Positive
200,من الوجهات السياحية في الاحساء,Positive
201,جميل جدا والجو حلو,Positive
202,هذا المتحف إضافة مميزة للمدينة المنورة و نعم العمل المبارك الذي يحكي مسيرة هذا النبي العظيم صلى الله عليه واله وسلم بأجمل اسلوب مع وجود مرشد داخل المتحف يشرح لك فياخذك الى عالم جميل من البطولات المحمدية و الإسلامية و يتم هذا الجمال بوجود منطقة تذكارات المتحف لا تنسى ان تأخذ لك تذكار من هذا المكان الطيب,Positive
203,رائع و المكتبة أكثر شيء رائع و جميل في هالمكان,Neutral
204,المعرض حاليا مخصص لمنسوبي أرامكو وعائلاتهم فقط وهو جزء من معرض اثراء سوف يفتح للجمهور العام في وقت لاحق من هذا السنه ٢٠١٨  للاستفسار  ٨٠٠١٢٢١٢٢٤,Positive
205,مغلقة نهائيا منذ اكثر من سنة,Positive
206,مكان جميل يستحق الزياره الافضل الذهاب في الصباح الباكر وجب اكلك معك وشرابك,Negative
207,مكان جميل واثرى بس عيبو مواقف السيارات غير مجانيه مدفوعه لكن منظم,Neutral
208,أجمل حديقة هادئة وجميلة ممكن تزورها  نظافة واهتمام بألعاب الأطفال والمسطحات الخضراء والبحيرات,Positive
209,تجربة عادية تذاكر صالات العروض عالية لهواة القراءة هذا هو مكانهم,Positive
210,أكبر متحف في الشرق الأوسط ويستحق الزيارة,Positive
211,جلسات داخلية رائعة تذكرنا بالأيام الجميلة مع آبائنا وأمهاتنا,Neutral
212,طبيعة خلابة وساحرة في وسط الرمال,Positive
213,مهرجان تراث العلا,Negative
214,مكان جميل وشرحالجو يساعدأنصح بالزيارة مبكرًاغدا الاربعاء ٢٨ فبراير ٢٠١٨ آخر يوم للجنادريةيحتاج الكثير من التنظيم وكذلك زيادة تنوع المنتجات وكذلك يجب زيادة الاهتمام بالنظافة,Negative
215,الدخول للشخص  ريال يوجد  يغلب على محتوياته الماضي القريب جدا وليس له بعد تاريخي طويل لا يوجد لوحات للدلاله سواء في مدخل الطايف من الرياض او من مكه سواء الهداء او السيل,Negative
216,أختر أفضل وقت بدون زحمة يستحق التجربة رائع,Positive
217,المكان روعه وفيه سمك صالح للأكل بإمكانك صيده  وبط وأجواء خياليه,Negative
218,المكان جميل جداً ويفوق الخيال ❤️❤️انشطه مجانيه العاب الكترونيه ورسم وسنما و و و التنقل سهل لاصحاب الهمم وعربات الاطفال المتطوعين اخلاقهم راقيه وودودين يستاهل عشر نجوم بجداره🇸🇦♥️,Positive
219,مكان جميل وراقي ديكورات تراثيه الاكل خليجي كما يجب واسعارهم معقوله تذكرة دخول المكان ٢٠ ريال للشخص,Neutral
220,غير احترافي إذا قورن بمتاحف أخرى ليس لها مثل تاريخ المدينة العظيم حقيقة لا يليق بتاريخ المدينة المنورة,Positive
221,يبدأ المهرجان يوم الأربعاء ٢١٥١٤٣٩ وسيكون دخول الجمهور يوم الخميس من الساعة الحادية عشر صباحا الى الحادية عشر مساء وضيف الشرف لهذا العام دولة الهند الصديقة في دورته الثانية والثلاثين فحياكم الله بجناح إمارة منطقة الجوف,Negative
222,سعر تذكرة الدخول ١٠٠ ريال للشخص ولا تتضمن شي بالداخل فقط دخولية يوجد بالداخل نافورة وليست نافورة راقصة وامكان الطعام عبارة عن سيارات تقدم الشاي والقهوة وتفتيش جدا ممل كانو داخل الواحد على المطار اكثر من نصف ساعة لخلصنا تفتيش,Negative
223,جميله بس تحتاج ترميم من جديد,Positive
224,بحيرة صناعية معلم من معالم السياحية في ينبع الصناعية محاطة بحديقه و يمتاز بوجود طيور مهاجرة خاصة في فترة الصباح,Negative
225,فيه كل ما هو مرتبط بتاريخ المدينة قديما والاطلاع على ما اندرس منها وربطه بالحاضر,Positive
226,زحمه وغالي عدم اهتمام بالنظافة وتجديد المكان,Neutral
227,مرا جميل المكان و مرتب و نظيف ما شاء الله لازم اذا رحت ينبع نزوره 💕💕,Positive
228,بعد انتقال المطعم للكورنيش اجبرونا ندفع رسوم الدخول الشخص ٢٠ ريال زيادة على الاماكن عليها رسوم من ٥٠ الى ١٠٠ ريال بالنسبة لي دفعت ١٨٠ ريال قبل ما اطلب اساساًلان عائلتي كبيرة ومعنا ضيف المطعم كان ممتاز صراحة كطعم لكن ادفع مبلغ ١٨٠ ريال حق عشا قبل اطلب هذي مصيبة هذي اخر مره ازوره صراحة 👎🏽👎🏽👎🏽,Negative
